UID,교회명,국가/지역,주소,담임,전도인수,사진URL
27,"화순교회","대한민국","전라남도 화순군 화순읍 대리길36","김영훈 담임목사",5,"https://file1.jbch.org/guide/27/27_2026010219290128219_eogh117.jpg"
161,"화천교회","대한민국","강원도 화천군 상서면 구둔지길 32-6 대한예수교 침례회 화천교회","장지명 담임목사",1,"https://file1.jbch.org/guide/161/161_2023030513271099933_tngus3256.jpg"
729,"횡성교회","대한민국","강원도 횡성군 횡성읍 한우로 242번길 22","김용희 담임목사",1,"https://file1.jbch.org/guide/729/729_2025011122295691403_wlsdngus.jpg"
47,"후포교회","대한민국","경북 울진군 후포면 삼율로 19-1(삼율리 271번지)","노규원 담임목사",1,""
245,"LA교회","미국","8525 Glenoaks Blvd, Sun Valley, CA 91352","정성호 담임목사",2,""
108,"LA중앙교회","미국","1540 E. 1st St. #250 Santa Ana, CA 92701","이재준 담임목사",2,"https://file1.jbch.org/guide/108/108_2018082413474620642_mih80.png"
309,"LA코로나교회","미국","1138e 6th St, Corona, CA 92882","박철오 담임목사",1,"https://file1.jbch.org/guide/309/309_2017072516421357096_leeguide.jpg"
778,"가와사키교회","일본","神奈川県川崎市宮前区鷺沼1-8-5 エトワーレオトール鷺沼201","츠카모토 塚元健司 담임목사",1,"https://file1.jbch.org/guide/778/778_2025082714174614407_chisato0815.jpeg"
517,"고리야마교회","일본","963-8846 日本国福島県郡山市久留米3丁目3ー1 ","야마기 담임전도사",1,""
548,"과달라하라교회","멕시코","HIPICO 240  INT. 36 COL. SAN JUAN DE JOCOTAN ZAPOPAN, JALISCO.  MEXICO","김진상 담임목사",1,""
519,"과삘레스교회","코스타리카"," enfrente del polideportivo, 40 M oeste. 50 M norte, Guapiles, Pococi, Limón, Costa Rica","신경섭 담임목사",1,"https://file1.jbch.org/guide/519/519_2025081423545240929_ks0274.jpg"
323,"과야낄교회","에콰도르","km 14.5 vía a Daule 100m antes de llegar a indulac","김상회 담임목사",2,""
568,"과야낄수르교회","에콰도르","C, 49 SO, 090205 Guayaquil.","박영규 담임목사",1,""
105,"괌교회","미국","Jusus Baptist Church of Guam","조성웅 담임목사",2,""
210,"구와티중앙교회","인도","Mission Center, Patgaon Raniroad, Borjhar Guwahati 781015, Assam, India. ","",0,""
1091,"기노옥교회","필리핀","Barangay San Luis, Gingoog city, Misamis Oriental, Philippines.","",0,""
561,"기후교회","일본","岐阜県可児市東帷子１３０－２","",0,""
764,"까가얀데오르교회","필리핀","Purok 8 2nd Street San Pedro Gusa CDO","이상록 담임목사",1,""
493,"까딴두아네스바토교회","필리핀","4F Araojo Shopping Center, Cavinitan, Virac, Catnes","",0,"https://file1.jbch.org/guide/493/493_2017082123153570532_kyungdoe.jpg"
763,"까딴두아네스비락교회","필리핀","","",0,""
192,"까라발타교회","키르기스스탄","Кыргызстан, Чуйская область, г.Карабалта  ул.8 марта №1Б(생명의말씀교회 Жизненное Слово)","김창수 담임목사",1,""
610,"까르데나스교회","멕시코","","",0,""
532,"까르멘교회","멕시코","Calle 21 10, Benito Juárez, 24180 Cd del Carmen, Camp.","",0,""
754,"까말릭교회","필리핀","","",0,""
291,"까비테교회","필리핀","OSORIO TRECE MERTIREZ CITY, CAVITE, PHILIPPINES","김근태 담임목사",1,""
300,"까인다교회","키르기스스탄","Kyrgyzstan, Chuiskaya oblast, Panfilobskiy rayon, p. Kainda, per. Shopokoba 3","",0,""
755,"까일라와이교회","필리핀","Kaylaway, Nasugbu Batangas","",0,""
314,"깐트교회","키르기스스탄","Кыргызская Республика, Чуйская область Ысык-Атинский район, г.Кант, ул. Абдраимово, дом №71","구남호 담임목사",1,""
475,"깔라우안교회","필리핀","063 Purok 2 Barangay Bangyas Calauan Laguna Philippines","김태완 담임목사",1,""
727,"깔로오깐교회","필리핀","Blk 7 lot 28 bayabas st. SM Homes Deparo 2 Brgy. 170 Caloocan City","",0,""
591,"깜뻬체교회","멕시코","Calle cedros mza 1 lte 22 fraccionamiento arboleda. Frente a la prg","",0,""
479,"께레따로교회","멕시코","Calle condesa pardo bazan y condesa de madaleine 320, La Condesa, 76125 Santiago de Querétaro, Qro. México","이제헌 담임목사",1,""
656,"꼬자도비잘바교회","스페인","C/ Cercedilla 2, Local 2, 28400 Collado Villalba, Madrid","이동희 담임목사",1,""
506,"꼬차밤바교회","볼리비아","Calle Illapa #1848 entre Av. America y calle Alcides Arguedas, Zona Cala Cala, Cochabamba, Bolivia","문상인 담임목사",1,"https://file1.jbch.org/guide/506/506_2023101901022868870_msi1000.jpg"
630,"꾸엔카교회","에콰도르","Avenida de las Americas en Cuenca de Ecuador","양정환 담임목사",1,"https://file1.jbch.org/guide/630/630_2017120911263035132_pyq7.jpg"
636,"꾸엥까교회","스페인","Avenida de los Reyes Católicos, 16, 16003, Cuenca, España.","김동옥 담임목사",1,"https://file1.jbch.org/guide/636/636_2020041405510124136_kidaehanb.jpg"
279,"나가교회","필리핀","Naga Church B/D, Narra ST. Mariano Village Balatas Naga City","홍은성 담임목사",1,""
147,"나고야교회","일본","名古屋市北区光音寺町4－27－9","稲田 담임전도사",1,""
430,"나른교회","키르기스스탄","","",0,""
812,"나사웃교회","루마니아","Strada Vasile Nașcu, Nasaud 425200, Romania","강병삼 담임목사",1,""
240,"나손교회","힇","dongfeng R.D. #62 Guangzhou city","",0,""
724,"날래흐교회","몽골","","류희석 담임목사",1,""
201,"남버지니아교회","미국","13246 Warwick Blvd, Newport News, VA 23602-6722","최현우 담임목사",1,"https://file1.jbch.org/guide/201/201_2019031109550343219_chamvitt.jpg"
252,"남일리노이교회","미국","4 Phillips Dr, Fairview Heights, IL 62208","김성열 담임목사",1,""
664,"네피도교회","미얀마","No. 396, Pan Laung Street, Shwe Kyar Pin qt, Zabyu Thiri City, Nay Pyae Daw.","",0,""
521,"노갈레스교회","멕시코","Calle4 No.36 Col.Anahuac Nogales, Veracruz, Mexico","황재성 담임목사",1,""
658,"뉴욕교회","미국","167 Willis Ave, Mineola, NY 11501","박종경 담임목사",1,"https://file1.jbch.org/guide/658/658_2023020809584723137_aje1337.jpeg"
109,"뉴저지교회","미국","61 Church Street, Teaneck, NJ 07666","신민철 담임목사",2,""
146,"니이가타교회","일본","新潟県新潟市東区長者町15－28 ","長谷川　聖 담임목사",1,""
244,"다르한교회","몽골","Mongolia Darkhan-Uul aimag Darkhan sum 9-r bag Darkhan baprist church","임재환 담임목사",2,""
756,"다바오씨티교회","필리핀","","",0,""
633,"다바오토릴교회","필리핀","Bayanihan cor Lapu lapu st Toril, Davao city","최현준 담임목사",1,""
560,"다스마리냐스교회","필리핀","B13 L18 Dexterville Subd., San Nicolas, Dasmariñas, Cavite","",0,""
689,"다울레교회","에콰도르","","",0,""
128,"다윗교회","힇","","",0,""
592,"다카교회","방글라데시","73/1, senpara parbota, Mirpur-10, Dhaka-1216. Bangladesh.","",0,""
421,"달라스교회","미국","13305 Wilmington Dr.  Farmers Branch, TX 75234","신문호 담임목사",2,""
701,"대북교회","대만","No. 71-2F, Sec. 1, Hankou St., Zhongzheng Dist., Taipei City 100006 , Taiwan (R.O.C.)  台北市中正區漢口街一段71號2樓","",0,"https://file1.jbch.org/guide/701/701_2018111610135018564_dksl200.jpg"
601,"던가디교회","네팔","","",0,""
141,"덴버교회","미국","2241 South. Peoria St, #205  Aurora  CO. 80014","정광국 담임목사",1,"https://file1.jbch.org/guide/141/141_2025120914014482740_kanghyowon.jpg"
426,"도끄막교회","키르기스스탄","Чуйская область, Чуйский район, село Чуй, улица Сансызбаева 173","김희강 담임목사",1,""
124,"도르트문트교회","독일","Willstätter str.57 44369 Dortmund","우성은 담임목사",1,""
499,"돈드고비교회","몽골","Mongolia Dundgovi Mandalgovi POST Office box-40","",0,""
99,"동경교회","일본","日本東京都足立区東綾瀬3-15-11","이기용 담임목사",2,"https://file1.jbch.org/guide/99/99_2019011715331123743_dktmf.jpg"
500,"동경신주쿠교회","일본","東京都 新宿区 大久保1-3-3 セイントマンション7階","황광률 담임목사",1,""
721,"두랑고교회","멕시코","","",0,""
686,"두마게띠교회","필리핀","Dumaguete Church B/D, Purok Kalubihan, Daro, Dumaguete City, 6200, Negros Oriental, Philippines","김병석 담임목사",1,"https://file1.jbch.org/guide/686/686_2021042620334633415_arttech.jpg"
487,"따까와얀교회","필리핀","Poblacion Zone 3 Del Gallego Camarine Sur Philippines ","",0,""
408,"따랑꼰교회","스페인","C/Jeronimo Bujeda 10,  16400 Tarancon (Cuenca)","",0,""
665,"따이찌교회","미얀마","No. 31, Thiri street, Zay qt, Tike Gyi.","",0,""
790,"딸락교회","필리핀","9th Street Barangay Balete, San Miguel Tarlac","",0,""
765,"땀박교회","필리핀","Sitio Tambac, Brangay Maonon, Ligao City, Albay, Philippines","",0,""
